event_id,category,popularity_score,event_date,is_weekend
event_84,Sports,0.89,2025-08-15,False
event_85,Festival,0.95,2025-08-02,True
event_86,Theater,0.89,2025-09-20,True
event_87,Workshop,0.42,2025-08-11,False
event_88,Workshop,0.78,2025-09-21,True
event_89,Tech,0.48,2025-08-03,True
event_90,Workshop,0.5,2025-08-21,False
event_91,Workshop,0.2,2025-08-14,False
event_92,Sports,0.59,2025-08-26,False
event_93,Sports,0.19,2025-09-06,True
event_94,Festival,0.33,2025-09-19,False
event_95,Tech,0.86,2025-08-20,False
event_96,Music,0.21,2025-08-07,False
event_97,Movie,0.07,2025-08-20,False
event_98,Tech,0.07,2025-08-19,False
event_99,Tech,0.94,2025-08-10,True
event_100,Theater,0.51,2025-09-08,False
event_101,Festival,0.41,2025-08-14,False
event_102,Theater,0.81,2025-09-10,False
event_103,Tech,0.84,2025-09-25,False
event_104,Tech,0.33,2025-09-09,False
event_105,Tech,0.69,2025-09-07,True
event_106,Workshop,0.77,2025-08-01,False
event_107,Movie,0.65,2025-09-04,False
event_108,Movie,0.15,2025-09-06,True
event_109,Theater,0.88,2025-08-07,False
event_110,Tech,0.54,2025-08-31,True
event_111,Movie,0.28,2025-09-12,False
event_112,Sports,0.43,2025-08-12,False
event_113,Movie,0.04,2025-08-07,False
event_114,Festival,0.13,2025-08-26,False
event_115,Festival,0.77,2025-08-21,False
event_116,Movie,0.0,2025-08-14,False
event_117,Sports,0.42,2025-09-25,False
event_118,Festival,0.52,2025-09-06,True
event_119,Workshop,0.05,2025-09-10,False
event_120,Movie,0.97,2025-09-01,False
event_121,Workshop,0.23,2025-08-11,False
event_122,Movie,0.3,2025-09-09,False
event_123,Music,0.3,2025-08-17,True
event_124,Music,0.23,2025-09-19,False
event_125,Music,0.0,2025-09-15,False
event_126,Festival,0.73,2025-09-15,False
event_127,Workshop,0.97,2025-07-31,False
event_128,Workshop,0.22,2025-08-11,False
event_129,Workshop,0.66,2025-09-18,False
event_130,Sports,0.74,2025-07-30,False
event_131,Workshop,0.85,2025-09-17,False
event_132,Sports,0.42,2025-08-17,True
event_133,Music,0.3,2025-08-22,False
event_134,Music,0.33,2025-08-14,False
event_135,Festival,0.71,2025-08-01,False
event_136,Movie,0.82,2025-08-10,True
event_137,Music,0.18,2025-09-24,False
event_138,Movie,0.37,2025-09-26,False
event_139,Movie,0.9,2025-09-02,False
event_140,Festival,0.81,2025-09-22,False
event_141,Tech,0.98,2025-09-11,False
event_142,Tech,0.75,2025-08-17,True
event_143,Theater,0.39,2025-08-10,True
event_144,Festival,0.59,2025-09-07,True
event_145,Theater,0.66,2025-08-28,False
event_146,Theater,0.08,2025-08-22,False
event_147,Tech,0.54,2025-09-22,False
event_148,Festival,0.71,2025-09-24,False
event_149,Tech,0.17,2025-09-07,True
event_150,Theater,0.78,2025-08-26,False
event_151,Festival,0.58,2025-08-06,False
event_152,Theater,0.95,2025-08-13,False
event_153,Workshop,0.04,2025-08-05,False
event_154,Movie,0.27,2025-08-12,False
event_155,Festival,0.6,2025-09-13,True
event_156,Festival,0.3,2025-09-01,False
event_157,Movie,0.71,2025-08-31,True
event_158,Theater,0.76,2025-08-13,False
event_159,Workshop,0.1,2025-09-13,True
event_160,Sports,0.51,2025-09-03,False
event_161,Movie,0.51,2025-08-24,True
event_162,Tech,0.37,2025-09-23,False
event_163,Theater,0.93,2025-09-03,False
event_164,Movie,0.83,2025-08-22,False
event_165,Movie,0.7,2025-08-20,False
event_166,Festival,0.71,2025-08-11,False
event_167,Tech,0.46,2025-08-05,False
event_168,Tech,0.92,2025-08-29,False
event_169,Tech,0.69,2025-08-28,False
event_170,Movie,0.73,2025-08-02,True
event_171,Sports,0.86,2025-09-14,True
event_172,Music,0.27,2025-07-31,False
event_173,Theater,0.81,2025-09-21,True
event_174,Music,0.2,2025-08-04,False
event_175,Movie,0.35,2025-08-06,False
event_176,Music,0.34,2025-09-06,True
event_177,Movie,0.98,2025-08-07,False
event_178,Music,0.86,2025-09-16,False
event_179,Tech,0.7,2025-09-09,False
event_180,Workshop,0.73,2025-08-24,True
event_181,Tech,0.56,2025-09-04,False
event_182,Tech,0.95,2025-08-01,False
event_183,Festival,0.5,2025-08-21,False
event_184,Festival,0.38,2025-08-21,False
event_185,Music,0.16,2025-09-04,False
event_186,Movie,0.79,2025-08-26,False
event_187,Tech,0.73,2025-08-30,True
event_188,Music,0.38,2025-08-13,False
event_189,Festival,0.03,2025-09-01,False
event_190,Workshop,0.84,2025-09-21,True
event_191,Theater,0.01,2025-09-26,False
event_192,Music,0.7,2025-07-28,False
event_193,Workshop,0.97,2025-09-09,False
event_194,Theater,0.44,2025-09-12,False
event_195,Sports,0.23,2025-08-04,False
event_196,Music,0.7,2025-09-09,False
event_197,Music,0.82,2025-09-22,False
event_198,Sports,0.55,2025-08-31,True
event_199,Sports,0.97,2025-09-14,True
event_200,Music,0.05,2025-08-14,False
event_201,Sports,0.5,2025-09-15,False
event_202,Tech,0.72,2025-09-07,True
event_203,Theater,0.86,2025-08-18,False
event_204,Theater,0.18,2025-08-04,False
event_205,Theater,0.8,2025-08-15,False
event_206,Tech,0.55,2025-08-24,True
event_207,Movie,0.4,2025-08-07,False
event_208,Sports,0.13,2025-08-26,False
event_209,Workshop,0.87,2025-07-28,False
event_210,Sports,0.16,2025-09-12,False
event_211,Music,0.31,2025-09-22,False
event_212,Festival,0.29,2025-09-12,False
event_213,Theater,0.87,2025-08-13,False
event_214,Sports,0.67,2025-08-29,False
event_215,Workshop,0.8,2025-09-14,True
event_216,Music,0.25,2025-08-08,False
event_217,Tech,0.62,2025-08-29,False
event_218,Movie,0.57,2025-09-24,False
event_219,Tech,0.83,2025-08-03,True
event_220,Workshop,0.91,2025-09-21,True
event_221,Music,0.01,2025-09-06,True
event_222,Theater,0.67,2025-08-16,True
event_223,Sports,0.05,2025-09-19,False
event_224,Music,0.55,2025-09-06,True
event_225,Movie,0.29,2025-08-29,False
event_226,Tech,0.31,2025-09-04,False
event_227,Movie,0.35,2025-08-09,True
event_228,Movie,0.62,2025-08-06,False
event_229,Workshop,0.33,2025-08-20,False
event_230,Workshop,0.73,2025-09-14,True
event_231,Sports,0.4,2025-08-07,False
event_232,Workshop,0.07,2025-08-31,True
event_233,Workshop,0.78,2025-09-15,False
event_234,Music,0.29,2025-09-25,False
event_235,Theater,0.43,2025-08-30,True
event_236,Sports,0.69,2025-09-24,False
event_237,Music,0.33,2025-07-28,False
event_238,Theater,0.06,2025-09-04,False
event_239,Movie,0.37,2025-08-17,True
event_240,Music,0.94,2025-08-28,False
event_241,Festival,0.64,2025-07-29,False
event_242,Music,0.67,2025-08-04,False
event_243,Workshop,0.63,2025-09-25,False
event_244,Theater,0.2,2025-08-20,False
event_245,Sports,0.42,2025-09-22,False
event_246,Sports,0.75,2025-09-19,False
event_247,Theater,0.1,2025-09-17,False
event_248,Workshop,0.28,2025-08-16,True
event_249,Tech,0.28,2025-08-12,False
event_250,Music,0.43,2025-07-31,False
event_251,Workshop,0.98,2025-08-12,False
event_252,Festival,0.07,2025-09-22,False
event_253,Movie,0.52,2025-09-02,False
event_254,Theater,0.18,2025-09-26,False
event_255,Music,0.97,2025-08-02,True
event_256,Sports,0.11,2025-08-02,True
event_257,Movie,0.4,2025-09-12,False
event_258,Tech,0.74,2025-08-28,False
event_259,Festival,0.7,2025-09-18,False
event_260,Sports,0.42,2025-08-01,False
event_261,Theater,0.35,2025-09-14,True
event_262,Music,0.4,2025-08-31,True
event_263,Theater,0.26,2025-09-15,False
event_264,Movie,0.21,2025-08-05,False
event_265,Music,0.48,2025-08-05,False
event_266,Workshop,0.27,2025-09-08,False
event_267,Tech,0.29,2025-08-27,False
event_268,Workshop,0.66,2025-09-26,False
event_269,Workshop,0.97,2025-09-01,False
event_270,Theater,0.6,2025-08-07,False
event_271,Movie,0.08,2025-08-13,False
event_272,Tech,0.08,2025-08-30,True
event_273,Music,0.95,2025-09-21,True
event_274,Music,0.3,2025-09-04,False
event_275,Festival,0.09,2025-08-24,True
event_276,Sports,0.6,2025-08-10,True
event_277,Festival,0.62,2025-09-25,False
event_278,Festival,0.65,2025-08-31,True
event_279,Music,0.27,2025-09-14,True
event_280,Theater,0.02,2025-09-12,False
event_281,Workshop,0.97,2025-09-10,False
event_282,Movie,0.25,2025-08-09,True
event_283,Workshop,0.68,2025-09-11,False
event_284,Workshop,0.71,2025-08-16,True
event_285,Tech,0.61,2025-08-22,False
event_286,Music,0.31,2025-09-08,False
event_287,Movie,0.27,2025-09-07,True
event_288,Theater,0.6,2025-08-20,False
event_289,Tech,0.87,2025-08-25,False
event_290,Sports,0.95,2025-09-23,False
event_291,Theater,0.11,2025-08-30,True
event_292,Festival,0.15,2025-08-25,False
event_293,Theater,0.94,2025-08-04,False
event_294,Theater,0.74,2025-08-12,False
event_295,Workshop,0.88,2025-08-11,False
event_296,Theater,0.2,2025-08-01,False
event_297,Festival,0.59,2025-08-18,False
event_298,Festival,0.7,2025-07-29,False
event_299,Music,0.68,2025-09-03,False
event_300,Theater,0.41,2025-09-01,False
event_301,Workshop,0.02,2025-08-11,False
event_302,Theater,0.58,2025-09-03,False
event_303,Sports,0.25,2025-08-11,False
event_304,Sports,0.45,2025-07-28,False
event_305,Workshop,0.96,2025-08-01,False
event_306,Music,0.4,2025-09-11,False
event_307,Music,0.84,2025-09-06,True
event_308,Festival,0.19,2025-07-31,False
event_309,Festival,0.67,2025-08-11,False
event_310,Tech,0.98,2025-08-01,False
event_311,Workshop,0.1,2025-09-23,False
event_312,Theater,0.01,2025-07-30,False
event_313,Movie,0.43,2025-09-21,True
event_314,Workshop,0.09,2025-08-18,False
event_315,Tech,0.75,2025-08-01,False
event_316,Festival,0.91,2025-08-29,False
event_317,Workshop,0.43,2025-08-12,False
event_318,Workshop,0.26,2025-08-14,False
event_319,Festival,0.43,2025-09-08,False
event_320,Tech,0.72,2025-08-28,False
event_321,Festival,0.01,2025-08-10,True
event_322,Music,0.59,2025-08-31,True
event_323,Theater,0.61,2025-08-05,False
event_324,Festival,0.64,2025-09-12,False
event_325,Tech,0.24,2025-09-25,False
event_326,Sports,0.71,2025-09-22,False
event_327,Music,0.09,2025-09-02,False
event_328,Sports,0.2,2025-09-02,False
event_329,Movie,0.88,2025-08-27,False
event_330,Festival,0.74,2025-08-12,False
event_331,Music,0.01,2025-09-16,False
event_332,Theater,0.25,2025-08-27,False
event_333,Festival,0.21,2025-09-17,False
event_334,Theater,0.27,2025-08-23,True
event_335,Workshop,0.25,2025-08-09,True
event_336,Sports,0.06,2025-08-03,True
event_337,Music,0.46,2025-08-03,True
event_338,Theater,0.73,2025-09-08,False
event_339,Tech,0.61,2025-08-24,True
event_340,Theater,0.67,2025-08-19,False
event_341,Tech,0.08,2025-08-24,True
event_342,Festival,0.95,2025-08-23,True
event_343,Music,0.84,2025-08-26,False
event_344,Theater,0.81,2025-09-21,True
event_345,Movie,0.82,2025-09-12,False
event_346,Theater,0.93,2025-07-31,False
event_347,Movie,0.54,2025-09-09,False
event_348,Music,0.2,2025-09-07,True
event_349,Theater,0.62,2025-09-07,True
event_350,Tech,0.74,2025-08-03,True
event_351,Theater,0.74,2025-07-31,False
event_352,Sports,0.52,2025-08-22,False
event_353,Festival,0.07,2025-09-12,False
event_354,Workshop,0.37,2025-08-18,False
event_355,Tech,0.92,2025-09-17,False
event_356,Sports,0.58,2025-09-21,True
event_357,Movie,0.54,2025-08-03,True
event_358,Festival,0.27,2025-08-12,False
event_359,Music,0.37,2025-08-09,True
event_360,Tech,0.9,2025-08-09,True
event_361,Workshop,0.67,2025-08-31,True
event_362,Festival,0.79,2025-08-25,False
event_363,Movie,0.45,2025-08-05,False
event_364,Workshop,0.63,2025-08-24,True
event_365,Music,0.25,2025-08-08,False
event_366,Music,0.71,2025-08-14,False
event_367,Movie,0.43,2025-08-26,False
event_368,Tech,0.44,2025-08-12,False
event_369,Movie,0.65,2025-09-21,True
event_370,Theater,0.94,2025-09-25,False
event_371,Music,0.06,2025-08-01,False
event_372,Festival,0.82,2025-08-25,False
event_373,Theater,0.29,2025-09-17,False
event_374,Sports,0.44,2025-09-21,True
event_375,Workshop,0.02,2025-09-20,True
event_376,Theater,0.3,2025-09-01,False
event_377,Workshop,0.5,2025-08-03,True
event_378,Movie,0.06,2025-07-31,False
event_379,Theater,0.49,2025-09-07,True
event_380,Movie,0.93,2025-08-31,True
event_381,Sports,0.11,2025-09-19,False
event_382,Music,0.76,2025-07-28,False
event_383,Sports,0.41,2025-08-02,True
event_384,Music,0.66,2025-09-25,False
event_385,Movie,0.26,2025-09-14,True
event_386,Music,0.16,2025-09-20,True
event_387,Workshop,0.16,2025-08-12,False
event_388,Festival,0.07,2025-08-07,False
event_389,Sports,0.19,2025-08-23,True
event_390,Theater,0.66,2025-08-28,False
event_391,Sports,0.88,2025-08-27,False
event_392,Workshop,0.81,2025-08-10,True
event_393,Music,0.69,2025-09-21,True
event_394,Workshop,0.11,2025-08-22,False
event_395,Tech,0.29,2025-09-23,False
event_396,Tech,0.31,2025-07-31,False
event_397,Theater,0.25,2025-08-07,False
event_398,Workshop,0.52,2025-08-21,False
event_399,Movie,0.54,2025-07-28,False
event_400,Theater,0.36,2025-08-21,False
event_401,Movie,0.35,2025-08-13,False
event_402,Theater,0.83,2025-09-25,False
event_403,Tech,0.79,2025-09-16,False
event_404,Theater,0.31,2025-09-16,False
event_405,Tech,0.91,2025-08-26,False
event_406,Music,0.95,2025-08-15,False
event_407,Movie,0.33,2025-08-24,True
event_408,Workshop,0.35,2025-09-10,False
event_409,Theater,0.51,2025-09-12,False
event_410,Tech,0.94,2025-09-16,False
event_411,Sports,0.88,2025-09-01,False
event_412,Movie,0.1,2025-09-08,False
event_413,Theater,0.39,2025-09-11,False
event_414,Festival,0.55,2025-08-28,False
event_415,Music,0.5,2025-08-06,False
event_416,Music,0.19,2025-08-09,True
event_417,Sports,0.86,2025-08-15,False
event_418,Tech,0.68,2025-08-10,True
event_419,Theater,0.84,2025-07-31,False
event_420,Movie,0.86,2025-09-03,False
event_421,Tech,0.75,2025-09-13,True
event_422,Music,0.44,2025-08-31,True
event_423,Tech,0.61,2025-07-31,False
event_424,Music,0.16,2025-09-13,True
event_425,Tech,0.67,2025-08-17,True
event_426,Sports,0.18,2025-07-31,False
event_427,Workshop,0.69,2025-07-31,False
event_428,Sports,0.23,2025-09-03,False
event_429,Sports,0.12,2025-08-27,False
event_430,Workshop,0.17,2025-08-29,False
event_431,Workshop,0.0,2025-09-24,False
event_432,Theater,0.72,2025-09-20,True
event_433,Movie,0.73,2025-08-30,True
event_434,Movie,0.51,2025-08-07,False
event_435,Theater,0.16,2025-07-31,False
event_436,Sports,0.08,2025-08-29,False
event_437,Sports,0.02,2025-08-02,True
event_438,Music,0.17,2025-09-20,True
event_439,Music,0.89,2025-08-08,False
event_440,Movie,0.24,2025-08-01,False
event_441,Theater,0.35,2025-09-04,False
event_442,Festival,0.11,2025-08-01,False
event_443,Festival,0.22,2025-09-09,False
event_444,Theater,0.52,2025-09-21,True
event_445,Music,0.61,2025-08-12,False
event_446,Movie,0.25,2025-08-22,False
event_447,Movie,0.06,2025-08-04,False
event_448,Music,0.39,2025-09-26,False
event_449,Festival,0.23,2025-09-22,False
event_450,Tech,0.22,2025-09-02,False
event_451,Tech,0.96,2025-08-12,False
event_452,Music,0.62,2025-09-03,False
event_453,Tech,0.56,2025-09-04,False
event_454,Workshop,0.42,2025-07-30,False
event_455,Theater,0.43,2025-09-05,False
event_456,Theater,0.54,2025-08-02,True
event_457,Music,0.7,2025-08-23,True
event_458,Sports,0.7,2025-09-08,False
event_459,Festival,0.17,2025-09-03,False
event_460,Music,0.5,2025-09-02,False
event_461,Tech,0.41,2025-08-30,True
event_462,Festival,0.87,2025-08-17,True
event_463,Sports,0.63,2025-09-25,False
event_464,Tech,0.53,2025-08-13,False
event_465,Movie,0.12,2025-08-10,True
event_466,Workshop,0.61,2025-09-08,False
event_467,Tech,0.12,2025-09-11,False
event_468,Workshop,0.34,2025-08-17,True
event_469,Festival,0.14,2025-08-12,False
event_470,Workshop,0.69,2025-08-13,False
event_471,Festival,0.21,2025-08-22,False
event_472,Festival,0.39,2025-08-05,False
event_473,Festival,0.9,2025-09-08,False
event_474,Festival,0.2,2025-09-07,True
event_475,Festival,0.51,2025-08-16,True
event_476,Tech,0.42,2025-08-26,False
event_477,Festival,0.02,2025-08-17,True
event_478,Tech,0.79,2025-09-25,False
event_479,Festival,0.07,2025-09-14,True
event_480,Workshop,0.47,2025-09-25,False
event_481,Movie,0.56,2025-08-01,False
event_482,Festival,0.63,2025-07-28,False
event_483,Sports,0.69,2025-08-26,False
event_484,Festival,0.25,2025-09-05,False
event_485,Festival,0.01,2025-09-02,False
event_486,Workshop,0.72,2025-08-03,True
event_487,Theater,0.54,2025-08-01,False
event_488,Workshop,0.84,2025-08-31,True
event_489,Sports,0.82,2025-08-10,True
event_490,Theater,0.84,2025-08-29,False
event_491,Music,0.49,2025-08-13,False
event_492,Music,0.33,2025-08-05,False
event_493,Sports,0.79,2025-09-25,False
event_494,Workshop,0.45,2025-08-19,False
event_495,Tech,0.18,2025-09-22,False
event_496,Sports,0.85,2025-08-01,False
event_497,Movie,0.88,2025-09-22,False
event_498,Theater,0.47,2025-08-12,False
event_499,Theater,0.08,2025-08-20,False
cmdj12tbd0002gbikcfzrhtgm,Movie,0.0,2025-07-27,True
cmdroy9ej0001gb94ka27n1to,Movie,0.0,2026-07-08,False
cmdrymxwv0001gb6sesbr516b,Festival,0.5714285714285714,2026-07-15,False
cmdrynwbq0006gb6sfg7vig9e,Concert,0.0,2026-07-28,False
cmdryoz04000bgb6s6v26zjyr,Movie,1.0,2026-07-21,False
cmdryq75c000ggb6sybjh54ik,Workshop,0.0,2026-07-23,False
cmdrymxwv0001gb6sesbr516b,Festival,0.13793103448275862,2026-07-15,False
cmdryq75c000ggb6sybjh54ik,Workshop,0.0,2026-07-23,False
cmdrynwbq0006gb6sfg7vig9e,Concert,0.0,2026-07-28,False
cmdryoz04000bgb6s6v26zjyr,Movie,1.0,2026-07-21,False
cmdrymxwv0001gb6sesbr516b,Festival,0.13793103448275862,2026-07-15,False
cmdryq75c000ggb6sybjh54ik,Workshop,0.0,2026-07-23,False
cmdrynwbq0006gb6sfg7vig9e,Concert,0.13793103448275862,2026-07-28,False
cmdryoz04000bgb6s6v26zjyr,Movie,1.0,2026-07-21,False
cmdrymxwv0001gb6sesbr516b,Festival,0.13793103448275862,2026-07-15,False
cmdryq75c000ggb6sybjh54ik,Workshop,0.0,2026-07-23,False
cmdrynwbq0006gb6sfg7vig9e,Concert,0.13793103448275862,2026-07-28,False
cmdryoz04000bgb6s6v26zjyr,Movie,1.0,2026-07-21,False
cmdryq75c000ggb6sybjh54ik,Workshop,0.0,2026-07-23,False
cmdrynwbq0006gb6sfg7vig9e,Concert,0.13793103448275862,2026-07-28,False
cmdryoz04000bgb6s6v26zjyr,Movie,1.0,2026-07-21,False
